Chemical name 	CAS RN	smiles	End Points (pLC50,mg/L )	End Points (LC50,mg/L )	End points annotation	Species	Reference	html
2-Chloroaniline	95-51-2	NC1=C(Cl)C=CC=C1	0.758911892	5.74	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2-Fluorotoluene	95-52-3	CC1=C(F)C=CC=C1	1.28780173	19.4	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2-Chlorophenol	95-57-8	OC1=CC=CC=C1Cl	1.056904851	11.4	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
1,2,4-Trimethylbenzene	95-63-6	CC1=C(C=CC(=C1)C)C	0.8876173	7.72	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
3,4-Dichlorotoluene	95-75-0	CC1=CC(Cl)=C(Cl)C=C1	0.463892989	2.91	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
3,4-Dichloroaniline	95-76-1	NC1=CC(Cl)=C(Cl)C=C1	0.87909588	7.57	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Allyl methacrylate	5/9/1996	C=C(C)C(=O)OCC=C	-0.004364805	0.99	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2-Methylbutyraldehyde	96-17-3	CC(C=O)CC	0.998695158	9.97	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
1,2,3-Trichloropropane	96-18-4	ClCC(Cl)CCl	1.761175813	57.7	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
3-Pentanone	96-22-0	CCC(=O)CC	3.187520721	1540	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2-Butanone oxime	96-29-7	CCC(C)=NO	2.925827575	843	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2-(Diisopropylamino)ethanol	96-80-0	OCCN(C(C)C)C(C)C	2.303196057	201	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2,4-Dinitroaniline	2/9/1997	NC1=C([N+]([O-])=O)C=C([N+]([O-])=O)C=C1	1.170261715	14.8	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2,2'-Methylenebis(4-chlorophenol)	97-23-4	OC1=CC=C(Cl)C=C1CC2=CC(Cl)=CC=C2O	-0.508638306	0.31	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
p-tert-Butylphenol	98-54-4	C(C1=CC=C(O)C=C1)(C)(C)C	0.711807229	5.15	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Isopropylbenzene	98-82-8	C1=CC=CC=C1C(C)C	0.800717078	6.32	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Acetophenone	98-86-2	C1=CC=CC=C1C(=O)C	2.209515015	162	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Nitrobenzene	98-95-3	O=[N+](C1=CC=CC=C1)[O-]	2.075546961	119	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
m-Aminoacetophenone	3/6/1999	C1=C(C(=O)C)C=C(N)C=C1	2.582063363	382	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
m-Nitrotoluene	8/1/1999	CC1=CC([N+](=O)[O-])=CC=C1	1.408239965	25.6	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
N,N-Dimethyl-p-toluidine	99-97-8	CN(C)C1=CC=C(C)C=C1	1.689308859	48.9	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
p-Nitroaniline	100-01-6	O=[N+](C1=CC=C(C=C1)N)[O-]	2.096910013	125	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
p-Nitrophenol	100-02-7	OC1=CC=C([N+](=O)[O-])C=C1	1.651278014	44.8	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
p-Dimethylaminobenzaldehyde	100-10-7	CN(C)C1=CC=C(C=O)C=C1	1.6599162	45.7	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
1,4-Dinitrobenzene	100-25-4	[O-][N+](=O)C1=CC=C([N+]([O-])=O)C=C1	-0.148741651	0.71	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
N,N-Diethylethanolamine	100-37-8	CCN(CCO)CC	3.250420002	1780	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Ethylbenzene	100-41-4	CCC1=CC=CC=C1	1.021189299	10.5	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Benzylamine	100-46-9	NCC1=CC=CC=C1	2.008600172	102	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Benzaldehyde	100-52-7	O=CC1=CC=CC=C1	0.994317153	9.87	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
N-Methylaniline	100-61-8	C1=CC=C(NC)C=C1	2	100	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Cyclohexanone oxime	100-64-1	ON=C1CCCCC1	2.318063335	208	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2-Cyanopyridine	100-70-9	N1=C(C#N)C=CC=C1	2.860936621	726	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2-Ethylpyridine	100-71-0	N1=C(CC)C=CC=C1	2.617000341	414	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Solketal	100-79-8	CC1(C)OCC(CO)O1	4.222716471	16700	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Hexamethylenetetramine (aliphatic)	100-97-0	C1N2CN3CN(C2)CN1C3	4.697229343	49800	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Phenyl ether	101-84-8	C1=CC=CC=C1OC2=CC=CC=C2	0.602059991	4	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
N-Ethyl-m-toluidine	102-27-2	CCNC1=CC(C)=CC=C1	1.694605199	49.5	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Tripropylamine	102-69-2	CCCN(CCC)CCC	1.706717782	50.9	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Triethanolamine	102-71-6	OCCN(CCO)CCO	4.071882007	11800	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Benzyl-tert-butanol	103-05-9	C1=CC=CC=C1CCC(C)(C)O	1.822168079	66.4	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
1-(2-Hydroxyethyl)piperazine	103-76-4	OCCN1CCNCC1	3.80685803	6410	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
N,N-Dimethylbenzylamine	103-83-3	CN(C)CC1=CC=CC=C1	1.5774918	37.8	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
4-Acetamidophenol	103-90-2	C1(=CC=C(C=C1)O)NC(C)=O	2.910624405	814	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
4-Butylaniline	104-13-2	NC1=CC=C(CCCC)C=C1	1.008600172	10.2	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Nonylphenol (mixed)	25154-52-3	CCCCCCCCCC1=CC=C(O)C=C1	-0.853871964	0.14	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2-Ethyl-1-hexanol	104-76-7	CCC(CCCC)CO	1.450249108	28.2	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
4-Chlorobenzaldehyde	104-88-1	ClC1=CC=C(C=O)C=C1	0.342422681	2.2	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
5-Ethyl-2-methylpyridine	104-90-5	N1=C(C)C=CC(CC)=C1	1.909020854	81.1	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
5-Diethylamino-2-pentanone	105-14-6	CC(=O)CCCN(CC)CC	2.526339277	336	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Diethyl malonate	105-53-3	CCOC(=O)CC(=O)OCC	1.167317335	14.7	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2,4-Dimethylphenol	105-67-9	OC1=C(C)C=C(C)C=C1	1.220108088	16.6	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Dibutyl fuarmate	105-75-9	CCCCOC(=O)C=CC(=O)OCCCC	-0.200659451	0.63	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Dibutyl adipate	105-99-7	CCCCOC(=O)CCCCC(=O)OCCCC	0.561101384	3.64	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
p-Bromoaniline	106-40-1	NC1=CC=C(Br)C=C1	1.67669361	47.5	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
p-Xylene	106-42-3	CC1=CC=C(C)C=C1	0.94792362	8.87	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
4-Methylphenol (p-cresol)	106-44-5	OC1=CC=C(C)C=C1	1.217483944	16.5	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
4-Chloroaniline	106-47-8	NC1=CC=C(C=C1)Cl	1.496929648	31.4	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
4-Chlorophenol	106-48-9	OC1=CC=C(Cl)C=C1	0.78604121	6.11	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
4-Toluidine	106-49-0	NC1=CC=C(C)C=C1	2.204119983	160	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Isobutyl acrylate	106-63-8	C=CC(=O)OCC(C)C	0.322219295	2.1	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
1-Bromopropane	106-94-5	BrCCC	1.828015064	67.3	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Acrolein	107-02-8	C=CC=O	-1.769551079	0.017	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
1,2-Dichloroethane	107-06-2	ClCCCl	2.133538908	136	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2-Chloroethanol	107-07-3	ClCCO	1.729974286	53.7	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Propylamine	107-10-8	CCCN	2.488550717	308	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Propionitrile	107-12-0	CCC#N	3.181843588	1520	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Chloroacetonitrile	107-14-2	ClCC#N	0.130333768	1.35	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Ethylenediamine	107-15-3	NCCN	2.342422681	220	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Allyl alcohol	107-18-6	C=CCO	-0.494850022	0.32	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2-Propyn-1-ol	107-19-7	C(O)C#C	0.170261715	1.48	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Acetaldoxime	107-29-9	CC=NO	1.880813592	76	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2-Methyl-2,4-pentanediol	107-41-5	C[C@](CC(O)C)(C)O	4.029383778	10700	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
tert-Octylamine	107-45-9	CC(C)(C)CC(C)(C)N	1.390935107	24.6	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
tert-Butyl sulfide	107-47-1	CC(C)(C)SC(C)(C)C	1.463892989	29.1	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2-Pentanone	107-87-9	CCCC(=O)C	3.093421685	1240	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
4-Methyl-2-pentanone	108-10-1	CC(=O)CC(C)C	2.717670503	522	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Isopropyl ether	108-20-3	CC(C)OC(C)C	2.895422546	786	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Toluene	108-88-3	CC1=CC=CC=C1	1.530199698	33.9	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
4-Picoline	108-89-4	N1=CC=C(C)C=C1	2.605305046	403	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Chlorobenzene	108-90-7	ClC1=CC=CC=C1	1.227886705	16.9	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Cyclohexanol	108-93-0	C1CCCCC1O	2.847572659	704	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Cyclohexanone	108-94-1	O=C1CCCCC1	2.7930916	621	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Phenol	108-95-2	OC1=CC=CC=C1	1.514547753	32.7	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
3-Picoline	108-99-6	N1=CC(C)=CC=C1	2.158362492	144	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
1-Methylpiperazine	109-01-3	CN1CCNCC1	3.361727836	2300	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2-Picoline	109-06-8	N1=C(C)C=CC=C1	2.952792443	897	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2-Methylpiperazine	109-07-9	N1CC(C)NCC1	3.350248018	2240	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Propyl acetate	109-60-4	CC(=O)OCCC	1.77815125	60	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
1,3-Dibromopropane	109-64-8	BrCCCBr	0.320146286	2.09	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
1-Bromobutane	109-65-9	BrCCCC	1.564666064	36.7	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Butylamine	109-73-9	CCCCN	2.428134794	268	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Allyl cyanide	109-75-1	C=CCC#N	2.260071388	182	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
1,3-Diaminopropane	109-76-2	NCCCN	3.075546961	1190	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Malononitrile	109-77-3	N#CCC#N	-0.251811973	0.56	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2-Methoxyethylamine	109-85-3	COCCN	2.719331287	524	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Diethylamine	109-89-7	CCNCC	2.931966115	855	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Pyrrole	109-97-7	N1C=CC=C1	2.322219295	210	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Tetrahydrofuran	109-99-9	C1CCCO1	3.334453751	2160	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Furan	110-00-9	C1=COC=C1	1.785329835	61	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
t-Butyl disulfide	110-06-5	CC(C)(C)SSC(C)(C)C	0.136720567	1.37	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
5-Methyl-2-hexanone	110-12-3	CC(=O)CCC(C)C	2.201397124	159	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Diethyl sebacate	110-40-7	CCOC(=O)CCCCCCCCC(=O)OCC	0.434568904	2.72	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2-Heptanone	110-43-0	CCCCCC(=O)C	2.117271296	131	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Hexane	110-54-3	CCCCCC	0.397940009	2.5	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
1,4-Dichlorobutane	110-56-5	ClCCCCCl	1.712649702	51.6	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Amylamine	110-58-7	CCCCCN	2.247973266	177	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Valeraldehyde	110-62-3	CCCCC=O	1.11058971	12.9	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2-Butyne-1,4-diol	110-65-6	C(O)C#CC(O)	1.72916479	53.6	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2-(Ethylamino)ethanol	110-73-6	CCNCCO	3.170261715	1480	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Cyclohexane	110-82-7	C1CCCCC1	0.656098202	4.53	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Pyridine	110-86-1	N1=CC=CC=C1	1.999130541	99.8	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
s-Trioxane	110-88-3	C1OCOCO1	3.774516966	5950	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
6-Methyl-5-hepten-2-one	110-93-0	O=C(CC/C=C(C)/C)C	1.932980822	85.7	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2-Octanone	111-13-7	CC(=O)CCCCCC	1.556302501	36	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
