Chemical name 	CAS RN	SMILES	End Points (pIGCC50,ug/L )	Species	Reference
2,4-Dihydroxyacetophenone	89849	CC(=O)C1=C(C=C(C=C1)O)O	0.25	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
4-Isopropylphenol	99898	CC(C)C1=CC=C(C=C1)O	0.47	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
3-aminophenol	591-27-5	Nc1cc(O)ccc1	-0.52	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
	608435	C1(C)=C(C)C(O)=CC=C1O	1.41	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
4-Hexylresorcinol	136776	CCCCCCC1=C(C=C(C=C1)O)O	1.8	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
4-chloro-3-methylphenol	35421-08-0	C(Cl)c1ccc(cc1)O	0.8	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
a,a,a-Trifluoro-4-cresol	402459	C1=CC(=CC=C1C(F)(F)F)O	0.62	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
3-Hydroxydiphenylamine	101-18-8	N(c1cc(O)ccc1)c1ccccc1	1.01	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
4-Sec-butylphenol	99-71-8	C([C@H](C)c1ccc(cc1)O)C	0.98	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
1-Thiaindene	95158	C1(C=CS2)=C2C=CC=C1	0.26	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
5-nitroquinoline	607-34-1	N(=O)(=O)c1c2c(ccc1)nccc2	0.39	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
N,n-Dimethylpropargylamine	7223383	C#CCN(C)C	-1.15	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
acetaldehyde	107299	C(C)=NO	-1.61	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
acetaldehyde oxime	107-29-9	C(=N\O)\C	-1.61	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
.beta.-Isonitrosopropane	127060	CC(C)=NO	-1.25	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
	96297	C(=NO)(C)CC	-1.07	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Ethyl methyl ketone oxime	96-29-7	C(\CC)(=N/O)C	-1.07	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
2-Heptanone oxime	5314-31-8	C(\CCCCC)(=N/O)C	0.103	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
2-HEPTANONE OXIME	5314318	C(CCCCC)(=NO)C	0.1	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
acrolein	107-02-8	C(C=O)=C	1.873	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
L6YTJ	100641	N(O)=C1CCCCC1	-0.8	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
4-methyl-2-pentenal	5362-56-1	C(\C(C)C)=C\C=O	0.819	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
3,5-Dimethyl-1-hexyn-3-ol	107-54-0	C([C@](C#C)(C)O)C(C)C	-0.553	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
1-Pentyn-3-ol, 3-methyl-	77758	OC(C)(C#C)CC	-1.32	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
3-Methyl-1-pentyn-3-ol	77-75-8	C([C@](C#C)(C)O)C	-1.323	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
3,5-Dimethyl-1-hexyn-3-ol	107540	C#CC(C)(O)CCCC	-0.55	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
3-Butyn-2-amine,	2978587	C#CC(N)(C)C	-0.91	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
3-Butyn-2-ol,	115195	CC(C#C)(O)C	-1.31	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
5-Methyl-1-hexyn-3-ol	61996-79-0	C([C@H](C#C)O)C(C)C	0.617	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
4-Methyl-2-heptyn-4-ol	4-Methyl-2-heptyn-4-ol	C(C)#C[C@](C)(O)CCC	-0.482	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Ethynyl isobutyl carbinol	61996790	C#CC(O)CC(C)C	0.62	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
4-methyl-2-heptyn-4-ol	4376163	OC(CCC)(C)C#CC	-0.43	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
3,7-Dimethyl-3-octanol	78-69-3	C([C@@](CC)(C)O)CCC(C)C	0.34	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
3-Octanol,	78693	C(C(CC)(C)O)CCC(C)C	0.34	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
2-Butanol,	75854	CC(CC)(O)C	-1.17	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
TERT-PENTYLAMINE	594398	NC(CC)(C)C	-0.7	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
3-Hexyne-2,5-diol,	142303	C(#CC(C)(C)O)C(C)(C)O	-1.58	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
3-ETHYL-2,2-DIMETHYL-3-PENTANOL	66793962	C(C(C)(C)C)(CC)(CC)O	-0.17	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
4-ethoxy-2-nitroaniline	616-86-4	N(=O)(=O)c1cc(OCC)ccc1N	0.76	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
4-nitrophenetole	100-29-8	N(=O)(=O)c1ccc(cc1)OCC	0.83	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
2-nitroaniline	88-74-4	N(=O)(=O)c1c(N)cccc1	0.08	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
2,4-dinitroaniline	97-02-9	N(=O)(=O)c1cc(N(=O)=O)ccc1N	0.72	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
4-Butoxyaniline	4344552	CCCCOC1=CC=C(C=C1)N	0.61	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
4-methyl-2-nitroaniline	89-62-3	N(=O)(=O)c1c(N)ccc(c1)C	0.4	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
4-Hexyloxyaniline	39905572	CCCCCCOC1=CC=C(C=C1)N	1.38	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
4-Pentyloxyaniline	39905505	CCCCCOC1=CC=C(C=C1)N	0.97	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
(Ethylthio)benzene	622388	C(SC1=CC=CC=C1)C	0.3	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
103731	103731	CCOC1=CC=CC=C1	-0.14	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
methyl-4-ethoxybenzoate	23676086	C(c1ccc(cc1)OCC)(=O)OC	0.58	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
3-nitroanisole	555-03-3	N(=O)(=O)c1cc(OC)ccc1	0.72	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Benzaldehyde,p-ethoxy-	10031820	C1=C(C=CC(=C1)C=O)OCC	0.07	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
4-n-butoxynitrobenzene	7244-78-2	O(CCCC)c1ccc(cc1)N(=O)=O	1.42	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
4-Ethoxy-2-nitroaniline	616864	CCOC1=CC(=C(C=C1)N)[N+](=O)[O-]	0.76	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
4-nitroanisole	100-17-4	N(=O)(=O)c1ccc(cc1)OC	0.54	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
2,6-dinitroaniline	606-22-4	N(=O)(=O)c1c(N)c(N(=O)=O)ccc1	0.84	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
4,5-dichloro-2-nitroaniline	6641-64-1	N(=O)(=O)c1c(N)cc(c(c1)Cl)Cl	1.66	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
2-Methoxyaniline	90040	COC1=CC=CC=C1N	-0.69	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
4-Ethoxyphenol	622628	CCOC1=CC=C(C=C1)O	0.01	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
4-amino-2-nitrophenol	119-34-6	N(=O)(=O)c1c(O)ccc(c1)N	0.88	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
3-nitroaniline	99-09-2	N(=O)(=O)c1cc(N)ccc1	0.03	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
3-Anisaldehyde	591311	COC1=CC=CC(=C1)C=O	0.23	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Phenyl n-propyl sulfide	874793	CCCSC1=CC=CC=C1	0.86	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
3,5-dinitroaniline	618-87-1	N(=O)(=O)c1cc(N(=O)=O)cc(c1)N	0.94	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Ethyl 2-aminobenzoate	87-25-2	C(OCC)(=O)c1c(N)cccc1	0.15	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
methyl	2065238	c1(ccccc1)OCC(OC)=O	-0.21	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
anisaldehyde,p-[Methoxybenzaldehyde]	123115	O=CC1=CC=C(OC)C=C1	-0.05	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
phenoxyacetamide	621885	O(CC(N)=O)c1ccccc1	-0.73	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Benzaldehyde, 4-butoxy-	5736889	C1=C(C=CC(=C1)C=O)OCCCC	0.72	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
2-ethoxyphenol	94-71-3	O(CC)c1c(O)cccc1	-0.36	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
4-Methylanisole	104938	CC1=CC=C(C=C1)OC	0.25	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
4-(Pentyloxy)benzaldehyde	5736914	CCCCCOC1=CC=C(C=C1)C=O	1.18	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
propargyl	5651887	C1=CC=CC=C1SCC#C	0.54	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
4-Propyloxyphenol	18979-50-5	O(CCC)c1ccc(cc1)O	0.52	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Benzaldehyde,2,-dimethoxy-(8CI9CI)	613456	C(C1=C(C=C(C=C1)OC)OC)(=O)	-0.06	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
phenyl	622468	C(Oc1ccccc1)(=O)N	-0.39	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
3-methoxybenzonitrile	1527895	N#Cc1cc(OC)ccc1	0.01	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
DL-Ethyl 2-bromobutyrate	533-68-6	C([C@@H](CC)Br)(OCC)=O	0.764	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
.alpha.-bromobutyrate	533686	CCC(Br)C(=O)OCC	0.76	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
DL-Ethyl 2-bromovalerate	615-83-8	C([C@@H](CCC)Br)(OCC)=O	0.699	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Pentanoic acid, 2-bromo-, ethyl ester	615838	CCOC(=O)C(Br)CCC	0.7	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
2-bromooctanoate	5445294	CCOC(C(Br)CCCCCC)=O	1.5	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Hexanoic acid, 2-bromo-, ethyl ester	615-96-3	C([C@H](CCCC)Br)(OCC)=O	0.86	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Hexanoic acid, 2-bromo-, ethyl ester (8CI9CI)	615963	C(C(CCCC)Br)(OCC)=O	0.86	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Ethyl 2-bromooctanoate	5445-29-4	C([C@H](CCCCCC)Br)(OCC)=O	1.5	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Methyl 2-bromobutyrate	3196-15-4	C([C@H](CC)Br)(OC)=O	1.024	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
	3196154	C(C(CC)Br)(OC)=O	1.02	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
2-bromopropanoic acid ethyl ester	535-11-5	C(OCC)([C@@H](Br)C)=O	1.057	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Malonic acid, chloro-, diethyl ester	14064109	C(C(OCC)=O)(C(OCC)=O)Cl	0.63	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Propanoic acid, 2-chloro-, ethyl ester (9CI)	535137	C(C(C)Cl)(=O)OCC	-0.43	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Propanoic acid, 2-bromo-, ethyl ester	535115	C(C(C)Br)(=O)OCC	1.06	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Ethyl 2-chloropropionate	535-13-7	C(OCC)([C@H](C)Cl)=O	-0.431	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Ethyl 2,3-dibromobutanoate	609110	C(C(C(Br)C)Br)(OCC)=O	1.44	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Ethyl 2,3-dibromobutyrate	609-11-0	C([C@@H]([C@@H](Br)C)Br)(OCC)=O	1.438	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Propanoic acid, 3-chloro, ethyl ester (9CI)	623712	O=C(OCC)CCCl	-0.5	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
	539742	O=C(OCC)CCBr	0.13	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Propanoic acid, 2,3-dibromo-, ethyl ester	3674133	C(C(C(=O)OCC)Br)Br	2.21	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
2-bromo-3-methylbutanoate	609121	O=C(OCC)C(Br)C(C)C	0.02	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Ethyl 2-bromo-3-methylbutyrate	609-12-1	C([C@@H](C(C)C)Br)(OCC)=O	0.021	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Ethyl 2,3-dibromopropionate	3674-13-3	C([C@@H](CBr)Br)(OCC)=O	2.208	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Ethyl.alpha.-bromo-.alpha.-	600000	CCOC(=O)C(C)(C)Br	0.15	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Ethyl.gamma.-chlorobutyrate	3153364	ClCCCC(=O)OCC	-0.28	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
	2969815	C(CCC(=O)OCC)Br	-0.03	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
acid,	80580	C(C(CC)Br)(=O)O	0.12	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
	105373	C(CC)(=O)OCC	-0.95	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
acid,	105533	C(CC(=O)OCC)(=O)OCC	-1	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Diethylester kyseliny jantarove (Czech)	123251	O(C(CCC(OCC)=O)=O)CC	-0.85	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
alpha-Bromobutyric acid	80-58-0	C([C@H](CC)Br)(=O)O	0.122	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
ethyl-6-bromo hexanoate	25542625	O(CC)C(=O)CCCCCBr	0.59	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Pentanoic acid, 5-bromo-, ethyl ester (9CI)	14660527	CCOC(=O)CCCCBr	0.22	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
3,4-Dibromohexane	16230287	CCC(C(CC)Br)Br	1	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
3,4-Dibromohexane	16230-28-7	C([C@H]([C@@H](CC)Br)Br)C	0.99	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
1-Butanol,4-bromo-,acetate (8CI9CI)	4753597	O(CCCCBr)C(C)=O	0.39	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Butyric acid, 3-methyl-, ethyl ester (6CI,7CI,8CI)	108645	C(CC(C)C)(=O)OCC	-0.72	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
1-Acetoxy-5-chloropentane	20395282	C(COC(C)=O)CCCCl	-0.13	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Acid	15848223	O(CCCCCBr)C(=O)C	0.29	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
ethyl-2-hexynoate	16205-90-6	C(C(OCC)=O)#CCCC	0.7	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
ethyl-2-heptynoate	16930-95-3	C(C#CCCCC)(OCC)=O	1.106	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
ethyl-2-octynoate	10519-20-7	C(C#CCCCCC)(OCC)=O	1.233	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
WLN: T C666 BO ISJ	262204	C12=C(C=CC=C2)SC3=C(C=CC=C3)O1	2.04	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
NSC 6953	108985	C1(C=CC=CC=1)S	1.66	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
4-Phenoxybenzaldehyde	67367	C1=CC=C(C=C1)OC2=CC=C(C=C2)C=O	1.26	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
100685	100685	CSC1=CC=CC=C1	0.18	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Anisole	100663	COC1=CC=CC=C1	-0.1	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
(PHENYLTHIOETHYLENE)	1822737	C1(=CC=CC=C1)SC=C	0.42	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
3,4,5,6-Tetrabromo-2-cresol	576556	CC1=C(C(=C(C(=C1Br)Br)Br)Br)O	2.57	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Tetrabromocatechol	488-47-1	Brc1c(Br)c(Br)c(c(c1Br)O)O	0.98	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Pentafluorophenol b	771619	C1(=C(C(=C(C(=C1F)F)F)F)F)O	1.63	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O	87865	C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O	2.07	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
C1(=C(C(=C(C(=C1Br)Br)Br)Br)Br)O	608719	C1(=C(C(=C(C(=C1Br)Br)Br)Br)Br)O	2.66	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
tetrachloro-	1198556	C1(Cl)=C(Cl)C(Cl)=C(O)C(=C1Cl)O	1.7	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
4-Bromo-6-chloro-2-cresol	7530270	CC1=CC(=CC(=C1O)Cl)Br	1.28	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
4-Chloro-3,5-dimethylphenol	88040	CC1=CC(=CC(=C1Cl)C)O	1.2	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
4-bromo-3,5-dimethylphenol	7463-51-6	Brc1c(C)cc(cc1C)O	1.27	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
OC1=C(F)C(=C(C(=C1F)F)O)F	771631	OC1=C(F)C(=C(C(=C1F)F)O)F	1.84	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Hydroquinone,	87876	C1(=C(C(=C(C(=C1O)Cl)Cl)O)Cl)Cl	2.11	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
2-Chloro-4,5-dimethylphenol	1124045	CC1=CC(=C(C=C1C)Cl)O	0.69	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
2,3,4,5-Tetrachlorophenol	4901513	C1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)O	2.72	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
2-Chloro-5-methylphenol	615747	CC1=CC(=C(C=C1)Cl)O	0.54	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
	527184	OC1=C(C)C(C)=C(O)C(C)=C1C	1.28	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
pentafluoronitrobenzene	880-78-4	N(=O)(=O)c1c(F)c(F)c(c(c1F)F)F	2.43	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Adipic acid, dihydrazide (8CI)	1071938	NNC(CCCCC(NN)=O)=O	-1.37	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Butryic acid hydrazide	3538656	C(C(NN)=O)CC	-0.97	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
374	1068571	C(NN)(C)=O	-1.38	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
dimercaptan	1191624	C(S)CCCCCCCS	1.19	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
SCCCCCCS	1191431	SCCCCCCS	0.63	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Formhydrazid (German)	624840	C(NN)=O	-0.87	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Phenylacetic acid hydrazide	937393	C1=CC=C(C=C1)CC(=O)NN	-0.48	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
vinyl	15484807	O(C(=O)c1ccc(C(C)(C)C)cc1)C=C	1.57	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
ethyl-4-hydroxybenzoate	120-47-8	C(OCC)(=O)c1ccc(cc1)O	0.57	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
tert-Butylbenzene	98-06-6	C(C)(C)(C)c1ccccc1	0.76	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Ethyl-4-nitrobenzoate	99-77-4	C(OCC)(=O)c1ccc(cc1)N(=O)=O	0.71	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
ethyl-3-hydroxybenzoate	7781-98-8	C(OCC)(=O)c1cc(O)ccc1	0.48	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
methyl-4-hydroxybenzoate	99-76-3	C(OC)(=O)c1ccc(cc1)O	0.08	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Butyl-4-hydroxybenzoate	94-26-8	C(OCCCC)(=O)c1ccc(cc1)O	1.33	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
ethyl-4-iodobenzoate	51934419	C(c1ccc(I)cc1)(=O)OCC	1.53	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
CCOC(=O)C1=CC=C(C=C1)Br	5798754	CCOC(=O)C1=CC=C(C=C1)Br	1.33	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
n-amylbenzoate	2049969	O(CCCCC)C(=O)c1ccccc1	1.37	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
ethyl-4-cyanobenzoate	7153222	N#Cc1ccc(C(=O)OCC)cc1	0.37	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
methyl-4-formylbenzoate	1571080	C(OC)(=O)c1ccc(C=O)cc1	0.3	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Benzoyl isothiocyanate	532558	C1=CC=C(C=C1)C(=O)N=C=S	0.1	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
nonyl-4-hydroxybenzoate	38713563	O(CCCCCCCCC)C(=O)c1ccc(O)cc1	2.63	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Isoamyl-4-hydroxybenzoate	6521308	CC(C)CCOC(=O)C1=CC=C(C=C1)O	1.48	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Ethyl-4-methoxybenzoate	94304	CCOC(=O)C1=CC=C(C=C1)OC	0.77	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Benzyl-4-hydroxybenzoate	94-18-8	C(OCc1ccccc1)(=O)c1ccc(cc1)O	1.55	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
methyl-3,5-dihydroxybenzoate	2150449	C(OC)(=O)c1cc(O)cc(c1)O	-0.14	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
4-(Tert)butylbenzyl alcohol	877656	CC(C)(C)C1=CC=C(C=C1)CO	0.48	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
2-Ethylhexyl-4¡¯-hydroxybenzoate	5153-25-3	C(OC[C@H](CCCC)CC)(=O)c1ccc(cc1)O	2.51	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Phenyl benzoate	93992	c1ccccc1C(=O)Oc2ccccc2	1.35	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Isothiocyanic acid, n-Propyl Ester	628308	C(N=C=S)CC	1.69	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Isothiocyanic acid, butyl ester	592825	C(CN=C=S)CC	1.72	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
1,3-propylene diisothiocyanate	52714520	S=C=NCCCN=C=S	2.72	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
n-Hex-1-yl isothiocyanate	4404459	C(N=C=S)CCCCC	1.75	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
isothiocyanate	629129	C(N=C=S)CCCC	1.71	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
Isothiocyanic acid, ethyl ester	542858	CCN=C=S	1.63	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
2,2-Dimethylpropyl isothiocyanate	597977	C(N=C=S)(C)(C)CC	0.35	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
C=CCN=C=S	57067	C=CCN=C=S	2.06	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
3-Phenylpropyl	2627272	c1ccccc1CCCN=C=S	2.54	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
n-Methylaniline	100618	CNC1=CC=CC=C1	0.06	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
